Waktu Relatif (s),Nilai Sensor
0.0,23.6
0.1,22.8
0.2,25.7
0.301,21.5
0.401,21.8
0.501,26.8
0.601,21.2
0.701,29.4
0.801,24.4
0.902,26.6
1.002,23.1
1.102,23.8
1.202,23.1
1.303,26.9
1.403,29.4
1.503,20.9
1.603,29.0
1.704,21.6
1.804,28.1
1.904,21.5
2.004,27.6
2.105,21.3
2.205,29.7
2.305,29.1
2.405,21.1
2.505,29.4
2.606,24.8
2.706,28.3
2.806,22.7
2.906,25.6
3.007,27.5
3.107,25.4
3.207,24.2
3.307,20.1
3.407,25.6
3.508,24.4
3.608,24.9
3.708,29.4
3.809,20.8
3.909,23.2
4.009,25.7
4.109,22.4
4.209,24.4
4.31,27.8
4.41,27.9
4.51,25.7
4.61,20.2
4.711,25.7
4.811,28.1
4.911,28.3
5.011,26.1
5.112,26.5
5.212,27.1
5.312,24.4
5.413,29.5
5.513,27.6
5.613,21.4
5.713,25.8
5.813,22.1
5.914,26.6
6.014,21.4
6.114,26.3
6.214,21.0
6.315,21.7
6.415,21.1
6.515,29.9
6.615,28.6
6.715,25.5
6.816,22.1
6.916,23.7
7.016,20.6
7.116,21.2
7.217,21.1
7.317,20.6
7.417,27.4
7.517,24.3
7.618,22.1
7.718,21.5
7.818,26.9
7.918,20.7
8.018,29.8
8.119,20.9
8.219,29.3
8.319,23.9
8.419,21.0
8.52,28.7
8.62,21.5
8.72,23.8
8.82,20.2
8.92,28.7
9.021,25.6
9.121,25.2
9.221,29.5
9.321,28.9
9.421,26.2
9.522,29.7
9.622,27.0
9.722,24.7
9.822,28.9
9.922,21.9
